time,inlet,outlet,drop
0.119,32.751,0.0,32.751
0.1195,32.7187,0.0,32.7187
0.12,32.6865,0.0,32.6865
0.1205,32.6541,0.0,32.6541
0.121,32.6215,0.0,32.6215
0.1215,32.5894,0.0,32.5894
0.122,32.5577,0.0,32.5577
0.1225,32.5263,0.0,32.5263
0.123,32.4951,0.0,32.4951
0.1235,32.4643,0.0,32.4643
0.124,32.4337,0.0,32.4337
0.1245,32.4034,0.0,32.4034
0.125,32.3734,0.0,32.3734
0.1255,32.3437,0.0,32.3437
0.126,32.3142,0.0,32.3142
0.1265,32.285,0.0,32.285
0.127,32.256,0.0,32.256
0.1275,32.2273,0.0,32.2273
0.128,32.1988,0.0,32.1988
0.1285,32.1706,0.0,32.1706
0.129,32.1426,0.0,32.1426
0.1295,32.1149,0.0,32.1149
0.13,32.0874,0.0,32.0874
0.1305,32.0602,0.0,32.0602
0.131,32.0332,0.0,32.0332
0.1315,32.0064,0.0,32.0064
0.132,31.9799,0.0,31.9799
0.1325,31.9535,0.0,31.9535
0.133,31.9275,0.0,31.9275
0.1335,31.9016,0.0,31.9016
0.134,31.876,0.0,31.876
0.1345,31.8506,0.0,31.8506
0.135,31.8254,0.0,31.8254
0.1355,31.8004,0.0,31.8004
0.136,31.7756,0.0,31.7756
0.1365,31.7511,0.0,31.7511
0.137,31.7267,0.0,31.7267
0.1375,31.7026,0.0,31.7026
0.138,31.6786,0.0,31.6786
0.1385,31.6549,0.0,31.6549
0.139,31.6313,0.0,31.6313
0.1395,31.608,0.0,31.608
0.14,31.5849,0.0,31.5849
0.1405,31.5619,0.0,31.5619
0.141,31.5392,0.0,31.5392
0.1415,31.5166,0.0,31.5166
0.142,31.4943,0.0,31.4943
0.1425,31.4721,0.0,31.4721
0.143,31.4501,0.0,31.4501
0.1435,31.4283,0.0,31.4283
0.144,31.4067,0.0,31.4067
0.1445,31.3852,0.0,31.3852
0.145,31.364,0.0,31.364
0.1455,31.3429,0.0,31.3429
0.146,31.322,0.0,31.322
0.1465,31.3013,0.0,31.3013
0.147,31.2807,0.0,31.2807
0.1475,31.2603,0.0,31.2603
0.148,31.2401,0.0,31.2401
0.1485,31.2201,0.0,31.2201
0.149,31.2002,0.0,31.2002
0.1495,31.1805,0.0,31.1805
0.15,31.1609,0.0,31.1609
0.1505,31.1415,0.0,31.1415
0.151,31.1223,0.0,31.1223
0.1515,31.1032,0.0,31.1032
0.152,31.0843,0.0,31.0843
0.1525,31.0656,0.0,31.0656
0.153,31.0469,0.0,31.0469
0.1535,31.0285,0.0,31.0285
0.154,31.0102,0.0,31.0102
0.1545,30.992,0.0,30.992
0.155,30.974,0.0,30.974
0.1555,30.9561,0.0,30.9561
0.156,30.9384,0.0,30.9384
0.1565,30.9209,0.0,30.9209
0.157,30.9034,0.0,30.9034
0.1575,30.8861,0.0,30.8861
0.158,30.869,0.0,30.869
0.1585,30.852,0.0,30.852
0.159,30.8351,0.0,30.8351
0.1595,30.8184,0.0,30.8184
0.16,30.8018,0.0,30.8018
0.1605,30.7853,0.0,30.7853
0.161,30.7689,0.0,30.7689
0.1615,30.7527,0.0,30.7527
0.162,30.7367,0.0,30.7367
0.1625,30.7207,0.0,30.7207
0.163,30.7049,0.0,30.7049
0.1635,30.6892,0.0,30.6892
0.164,30.6736,0.0,30.6736
0.1645,30.6582,0.0,30.6582
0.165,30.6429,0.0,30.6429
0.1655,30.6277,0.0,30.6277
0.166,30.6126,0.0,30.6126
0.1665,30.5977,0.0,30.5977
0.167,30.5828,0.0,30.5828
0.1675,30.5681,0.0,30.5681
0.168,30.5535,0.0,30.5535
0.1685,30.539,0.0,30.539
0.169,30.5246,0.0,30.5246
0.1695,30.5103,0.0,30.5103
0.17,30.4962,0.0,30.4962
0.1705,30.4821,0.0,30.4821
0.171,30.4682,0.0,30.4682
0.1715,30.4543,0.0,30.4543
0.172,30.4406,0.0,30.4406
0.1725,30.427,0.0,30.427
0.173,30.4135,0.0,30.4135
0.1735,30.4001,0.0,30.4001
0.174,30.3868,0.0,30.3868
0.1745,30.3736,0.0,30.3736
0.175,30.3605,0.0,30.3605
0.1755,30.3476,0.0,30.3476
0.176,30.3347,0.0,30.3347
0.1765,30.3219,0.0,30.3219
0.177,30.3092,0.0,30.3092
0.1775,30.2966,0.0,30.2966
0.178,30.2842,0.0,30.2842
0.1785,30.2718,0.0,30.2718
0.179,30.2595,0.0,30.2595
0.1795,30.2473,0.0,30.2473
0.18,30.2352,0.0,30.2352
0.1805,30.2232,0.0,30.2232
0.181,30.2113,0.0,30.2113
0.1815,30.1994,0.0,30.1994
0.182,30.1877,0.0,30.1877
0.1825,30.1761,0.0,30.1761
0.183,30.1645,0.0,30.1645
0.1835,30.1531,0.0,30.1531
0.184,30.1417,0.0,30.1417
0.1845,30.1304,0.0,30.1304
0.185,30.1192,0.0,30.1192
0.1855,30.1081,0.0,30.1081
0.186,30.0971,0.0,30.0971
0.1865,30.0861,0.0,30.0861
0.187,30.0753,0.0,30.0753
0.1875,30.0645,0.0,30.0645
0.188,30.0538,0.0,30.0538
0.1885,30.0432,0.0,30.0432
0.189,30.0327,0.0,30.0327
0.1895,30.0222,0.0,30.0222
0.19,30.0118,0.0,30.0118
0.1905,30.0016,0.0,30.0016
0.191,29.9914,0.0,29.9914
0.1915,29.9812,0.0,29.9812
