time,Tuintergral,uintergral,Tbulk
0.259,4698.9,32.1487,146.16143109985785
0.2595,4700.05,32.1487,146.1972023752127
0.26,4701.19,32.1487,146.23266259599922
0.2605,4702.32,32.1487,146.26781176221743
0.261,4703.44,32.1487,146.30264987386738
0.2615,4704.56,32.1487,146.33748798551733
0.262,4705.67,32.1487,146.37201504259895
0.2625,4706.77,32.1487,146.40623104511226
0.263,4707.87,32.1487,146.44044704762558
0.2635,4708.96,32.1487,146.4743519955706
0.264,4710.04,32.1487,146.50794588894732
0.2645,4711.12,32.1487,146.541539782324
0.265,4712.19,32.1487,146.57482262113243
0.2655,4713.25,32.1487,146.60779440537254
0.266,4714.3,32.1487,146.64045513504436
0.2665,4715.35,32.1487,146.67311586471618
0.267,4716.4,32.1487,146.70577659438794
0.2675,4717.43,32.1487,146.73781521492316
0.268,4718.46,32.1487,146.76985383545838
0.2685,4719.48,32.1487,146.80158140142524
0.269,4720.5,32.1487,146.83330896739216
0.2695,4721.51,32.1487,146.86472547879077
0.27,4722.51,32.1487,146.89583093562106
0.2705,4723.51,32.1487,146.92693639245135
0.271,4724.5,32.1487,146.9577307947133
0.2715,4725.49,32.1487,146.9885251969753
0.272,4726.47,32.1487,147.01900854466902
0.2725,4727.44,32.1487,147.04918083779438
0.273,4728.41,32.1487,147.07935313091977
0.2735,4729.37,32.1487,147.10921436947683
0.274,4730.32,32.1487,147.13876455346562
0.2745,4731.27,32.1487,147.1683147374544
0.275,4732.21,32.1487,147.19755386687487
0.2755,4733.15,32.1487,147.22679299629533
0.276,4734.08,32.1487,147.25572107114752
0.2765,4735.01,32.1487,147.2846491459997
0.277,4735.93,32.1487,147.31326616628357
0.2775,4736.84,32.1487,147.34157213199913
0.278,4737.75,32.1487,147.3698780977147
0.2785,4738.65,32.1487,147.39787300886195
0.279,4739.55,32.1487,147.4258679200092
0.2795,4740.44,32.1487,147.45355177658817
0.28,4741.32,32.1487,147.48092457859883
0.2805,4742.2,32.1487,147.5082973806095
0.281,4743.08,32.1487,147.53567018262015
0.2815,4743.95,32.1487,147.56273193006248
0.282,4744.81,32.1487,147.58948262293657
0.2825,4745.67,32.1487,147.6162333158106
0.283,4746.52,32.1487,147.64267295411636
0.2835,4747.37,32.1487,147.6691125924221
0.284,4748.21,32.1487,147.69524117615956
0.2845,4749.05,32.1487,147.721369759897
0.285,4749.88,32.1488,147.74672771612003
0.2855,4750.7,32.1488,147.77223411138206
0.286,4751.52,32.1488,147.79774050664412
